Voivodoship	            Unemployment(%)     lat             lng
Małopolskie	            4.6                 49.7225306      20.2503359
Śląskie	                4.4                 50.56874        19.23440
Wielkopolskie	        3.2                 52.333665332    17.2416657
Zachodniopomorskie	    7.1                 53.54508        15.56616
Lubuskie	            5.0                 52.10018        15.36051
Dolnośląskie	        4.9                 50.95084        16.36125
Opolskie	            6.0                 50.89186        17.93212
Kujawsko-pomorskie	    7.7                 53.32200        18.33929
Warmińsko-mazurskie	    8.6                 53.93119        21.12608
Pomorskie	            5.3                 54.24556        18.10990
Łódzkie	                5.8                 51.47217        19.34606
Świętokrzyskie	        7.3                 50.75049        20.78291
Lubelskie	            7.1                 51.00130        22.77485
Podkarpackie	        8.1                 49.99271        22.17711
Podlaskie	            7.0                 53.26685        22.85258
Mazowiecki	            8.6                 52.3423         21.1017
